# Block 18 — Drones
# Geran-2 (Shahed-136) is absent deliberately: Commons holds renderings, line
# drawings and photographs of recovered components, but no photograph of the
# airframe. Every entry in this project has to carry a real credited image.
orlan-10	File:Orlan-10 UAV Army-2022 2022-08-20 2287.jpg
eleron-3	File:ENICS Eleron-3 UAV Army-2022 2022-08-20 2212.jpg
forpost	File:Forpost UAV ARMY-2022.jpg
orion-uav	File:Kronstadt Orion left side ARMY-2022.jpg
lancet	File:ZALA Lancet at IDEX 2025.jpg
uran-9	File:Боевой многофункциональный робототехнический комплекс Уран-9 - Международного военно-технического форума АРМИЯ-2016 01.jpg
