# Block 21 — Helicopters
# imageFit is "contain": a helicopter is read from its rotor, tail boom and
# stub wings, and a 16:9 crop takes the ends of all three.
mi-24	File:20110827 Mi-24 Radom Air Show 8611.jpg
mi-28	File:Mil Mi-28N Havoc (c n 34012843262) (8584312973).jpg
ka-52	File:Ka-52 at an air show in Voronezh 2014.jpg
mi-8	File:Russian Air Force Mil Mi-8MT Dvurekov-3.jpg
mi-26	File:Mil Mi-26 Halo 88 blue (8594011266).jpg
ka-27	File:Ka-27 Russian Navy (17611939075).jpg
ka-29	File:Kamov Ka-29 ’62 yellow’ (38528795601).jpg
ka-31	File:Kamov Ka-31, Russia - Air Force AN1258376.jpg
