# Block 11 — C2 Systems
# R-149BMR and 1V110 were fetched and dropped: the first is another turretless
# BTR-80, indistinguishable in a photograph from the R-149MA1, and the second
# is a GAZ-66 with a box body, indistinguishable from the R-142N. Two items a
# learner cannot tell apart make the photo-ID drill unwinnable, since its
# distractors are drawn from the same block.
r-142n	File:R-142N command vehicle.jpg
r-145bm	File:R-145BM command vehicle on BTR-60 base.jpg
r-149ma1	File:R-149MA1 command vehicle at Engineering Technologies 2012.jpg
bmp-1ksh	File:BMP-1KSh in TLT - 4553.JPG
strelets	File:Strelets Recce.jpg
