# Block 12 — Radars
# imageFit is "contain": the antenna is the entire recognition cue and every
# one of these stands above the vehicle carrying it.
p-18	File:P-18 radar in Russia.JPG
nebo-m	File:Nebo-M RLM-ME Army-2016.jpg
kasta-2e2	File:39N6E Kasta-2E2 radar - 100th Anniversary VVS-R -02.jpg
zoopark-1	File:1L219 Zoopark-1 radar Tula 2016.JPG
snar-10	File:Battlefield Surveillance Radar SNAR 10 on MTLB M 1975 in Aalborg Forsvars- og Garnisonsmuseum, pic1.JPG
ark-1	File:1RL239 in Togliatti Technical museum.jpg
