# Block 17 — Submarines
# Commons holds mostly SVG profile drawings for this subject; these are the
# classes for which an actual photograph exists. Yasen (Project 885) has none,
# which is why the newest Russian SSN is absent from the block.
borei	File:A Borei class submarine at sea.jpg
delta-iv	File:Submarine Novomoskovsk, 2016 1.jpg
typhoon	File:«Дмитрий Донской».jpg
oscar-ii	File:Oscar class submarine 3.jpg
akula	File:Akula class submarine starboard quarter view.JPEG
kilo	File:B-261 Novorossiysk, 2020.jpg
