# Side-on profiles for the ship and submarine blocks.
#
# The previous set mixed aerial obliques, bow-on views and one ceremony
# close-up. A recognition cue that names the silhouette is worthless over a
# photograph that does not show it, so these are all beam or near-beam views
# with the whole hull in frame.
#
# Typhoon is not listed: the side-on candidates for it are licensed
# "Attribution" with the author recorded as "Bellona Foundation?" — a licence
# that requires attribution over an author Commons itself is unsure of.
# Oscar II is an oblique on purpose: its diagnostic is beam width without a
# hump, and the one true beam view is a 1983 reconnaissance scan in which the
# width cannot be seen at all.
pyotr-velikiy	File:Tactical exercises of the Russian Navy.jpg
moskva	File:Project 1164 Moskva 2009 G2.jpg
udaloy	File:AdmiralVinogradov2009.jpg
admiral-gorshkov	File:Admiral Gorshkov frigate 02.jpg
admiral-grigorovich	File:Фрегат "Адмирал Макаров" 2016.jpg
ropucha	File:Kaliningrad2004Cartagena.jpg
delta-iv	File:Submarine Delta IV class.jpg
oscar-ii	File:Submarine Oscar class.jpg
akula	File:К-419 Кузбасс. Парад ВМФ Владивосток 2008.07.25.JPG
